user_id,month,skill_id,level,source
u001,0,2.A.1.a,0.408689,derived_teaching_data
u001,0,2.A.1.b,0.474262,derived_teaching_data
u001,0,2.A.1.c,0.390918,derived_teaching_data
u001,0,2.A.1.d,0.372201,derived_teaching_data
u001,0,2.A.1.e,0.366709,derived_teaching_data
u001,0,2.A.1.f,0.323963,derived_teaching_data
u001,0,2.A.2.a,0.455855,derived_teaching_data
u001,0,2.A.2.b,0.379252,derived_teaching_data
u001,0,2.A.2.c,0.299577,derived_teaching_data
u001,0,2.A.2.d,0.368171,derived_teaching_data
u001,0,2.B.1.a,0.375342,derived_teaching_data
u001,0,2.B.1.b,0.346992,derived_teaching_data
u001,0,2.B.1.c,0.310821,derived_teaching_data
u001,0,2.B.1.d,0.270154,derived_teaching_data
u001,0,2.B.1.e,0.327791,derived_teaching_data
u001,0,2.B.1.f,0.301572,derived_teaching_data
u001,0,2.B.2.i,0.47208,derived_teaching_data
u001,0,2.B.3.a,0.409244,derived_teaching_data
u001,0,2.B.3.b,0.306947,derived_teaching_data
u001,0,2.B.3.c,0.164749,derived_teaching_data
u001,0,2.B.3.d,0.214681,derived_teaching_data
u001,0,2.B.3.e,0.631333,derived_teaching_data
u001,0,2.B.3.g,0.263217,derived_teaching_data
u001,0,2.B.3.h,0.179939,derived_teaching_data
u001,0,2.B.3.j,0.173798,derived_teaching_data
u001,0,2.B.3.k,0.258669,derived_teaching_data
u001,0,2.B.3.l,0.176666,derived_teaching_data
u001,0,2.B.3.m,0.411199,derived_teaching_data
u001,0,2.B.4.e,0.365742,derived_teaching_data
u001,0,2.B.4.g,0.377885,derived_teaching_data
u001,0,2.B.4.h,0.401544,derived_teaching_data
u001,0,2.B.5.a,0.364488,derived_teaching_data
u001,0,2.B.5.b,0.266746,derived_teaching_data
u001,0,2.B.5.c,0.229185,derived_teaching_data
u001,0,2.B.5.d,0.317972,derived_teaching_data
u001,1,2.A.1.a,0.449365,derived_teaching_data
u001,1,2.A.1.b,0.514199,derived_teaching_data
u001,1,2.A.1.c,0.42069,derived_teaching_data
u001,1,2.A.1.d,0.408308,derived_teaching_data
u001,1,2.A.1.e,0.35723,derived_teaching_data
u001,1,2.A.1.f,0.350409,derived_teaching_data
u001,1,2.A.2.a,0.499554,derived_teaching_data
u001,1,2.A.2.b,0.392162,derived_teaching_data
u001,1,2.A.2.c,0.308488,derived_teaching_data
u001,1,2.A.2.d,0.391416,derived_teaching_data
u001,1,2.B.1.a,0.388771,derived_teaching_data
u001,1,2.B.1.b,0.369437,derived_teaching_data
u001,1,2.B.1.c,0.304435,derived_teaching_data
u001,1,2.B.1.d,0.273842,derived_teaching_data
u001,1,2.B.1.e,0.35166,derived_teaching_data
u001,1,2.B.1.f,0.318616,derived_teaching_data
u001,1,2.B.2.i,0.475041,derived_teaching_data
u001,1,2.B.3.a,0.429177,derived_teaching_data
u001,1,2.B.3.b,0.312325,derived_teaching_data
u001,1,2.B.3.c,0.190923,derived_teaching_data
u001,1,2.B.3.d,0.194871,derived_teaching_data
u001,1,2.B.3.e,0.639679,derived_teaching_data
u001,1,2.B.3.g,0.272367,derived_teaching_data
u001,1,2.B.3.h,0.194589,derived_teaching_data
u001,1,2.B.3.j,0.208437,derived_teaching_data
u001,1,2.B.3.k,0.279337,derived_teaching_data
u001,1,2.B.3.l,0.196126,derived_teaching_data
u001,1,2.B.3.m,0.43466,derived_teaching_data
u001,1,2.B.4.e,0.408468,derived_teaching_data
u001,1,2.B.4.g,0.428439,derived_teaching_data
u001,1,2.B.4.h,0.428093,derived_teaching_data
u001,1,2.B.5.a,0.401837,derived_teaching_data
u001,1,2.B.5.b,0.256394,derived_teaching_data
u001,1,2.B.5.c,0.265824,derived_teaching_data
u001,1,2.B.5.d,0.312925,derived_teaching_data
u001,2,2.A.1.a,0.476438,derived_teaching_data
u001,2,2.A.1.b,0.516047,derived_teaching_data
u001,2,2.A.1.c,0.440137,derived_teaching_data
u001,2,2.A.1.d,0.455004,derived_teaching_data
u001,2,2.A.1.e,0.418,derived_teaching_data
u001,2,2.A.1.f,0.343961,derived_teaching_data
u001,2,2.A.2.a,0.513172,derived_teaching_data
u001,2,2.A.2.b,0.4323,derived_teaching_data
u001,2,2.A.2.c,0.30867,derived_teaching_data
u001,2,2.A.2.d,0.399014,derived_teaching_data
u001,2,2.B.1.a,0.415845,derived_teaching_data
